"_id","id","artist","title","mood","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_duration","track_end_of_fade_in","track_start_of_fade_out","track_loudness","track_tempo","track_tempo_confidence","track_time_signature","track_time_signature_confidence","track_key","track_key_confidence","track_mode","track_mode_confidence"
5a7879476c7da81a2b374d48,4UmtTOmTLE4jRDlSBpalTc,Steve Von Till,To the Field,0,0.228,0.309,9,-8.738,0,0.0278,0.779,0.0274,0.11,0.0695,85.337,395067,4,395.06667,0.12227,384.85914,-8.738,85.337,0,4,0.705,9,0.883,0,0.769
5a7879486c7da81a2b374d49,0agGwhXeyxtpS2CVFuvN4h,Willie Nelson,Please Come Home For Christmas,0,0.408,0.488,2,-8.188,1,0.0412,0.795,0.000579,0.0632,0.371,186.729,199107,3,199.10667,0,192.57469,-8.188,186.729,0.345,3,1,2,0.702,1,0.649
5a7879496c7da81a2b374d4a,3s9jQRTJehn1nCm3OUtrhy,Cyndi Lauper,Unchained Melody,0,0.279,0.0377,3,-19.48,1,0.045,0.96,0.000439,0.19,0.189,125.367,267027,4,267.02667,0.14218,252.95819,-19.48,125.367,0.018,4,1,3,0.416,1,0.632
5a78794a6c7da81a2b374d4b,4AMq8idNZQcduM2m11mTdK,Islaja,Laivat saapuu,0,0.429,0.331,5,-7.394,0,0.0309,0.976,0.567,0.486,0.0417,84.535,176827,4,176.82667,2.24653,167.60163,-7.394,84.535,0.053,4,0.518,5,0.58,0,0.649
5a78794a6c7da81a2b374d4c,1KJPs0itC6mqe8XqhaA5p5,George Strait,You'll Be There,0,0.585,0.426,4,-10.119,1,0.0277,0.289,0.0000011,0.104,0.202,98.891,257387,4,257.38667,0.28431,245.35946,-10.119,98.891,0.313,4,0.834,4,0.855,1,0.644
5a78794b6c7da81a2b374d4d,7DT5V5QCI1rym6RSlIzS4u,Pylon,Danger,0,0.54,0.84,11,-6.291,0,0.0301,0.000728,0.561,0.079,0.622,130.588,338947,4,338.94667,0.15048,330.04263,-6.291,130.588,0.789,4,1,11,0.858,0,0.726
5a78794b6c7da81a2b374d4e,0aajV11rCH0W5Zj2ho049t,HIGH and MIGHTY COLOR,pain,0,0.556,0.872,1,-3.933,0,0.054,0.000793,0.000519,0.0384,0.65,103.021,261565,4,261.56512,3.57587,255.28018,-3.933,103.021,0.735,4,1,1,0.598,0,0.555
5a78794c6c7da81a2b374d4f,6H73ZMna6oaOmY4c3VN5JY,Christina Milian,Oh Daddy,0,0.629,0.777,8,-5.521,0,0.106,0.354,0.00000863,0.193,0.633,92.025,236267,4,236.26667,0.34825,221.70413,-5.521,92.025,0.218,4,1,8,0.583,0,0.498
5a78794d6c7da81a2b374d50,430jx1hmczF1vpCAY1IfbP,Kamelot,Season's End (Japanese Edition Bonus Track),0,0.439,0.729,8,-7.319,0,0.045,0.304,0.00000235,0.379,0.41,148.132,212933,4,212.93333,2.99537,201.47955,-7.319,148.132,0.074,4,0.96,8,0.645,0,0.631
5a78794d6c7da81a2b374d51,5OPHD9bv2UwG7wFgdzZJ3R,Ghinzu,Turn Up the Satan,0,0.503,0.51,9,-14.214,0,0.0495,0.791,0.247,0.146,0.233,144.007,275907,4,275.90667,0.09701,260.92263,-14.214,144.007,0.039,4,0.997,9,0.368,0,0.33
